artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_id,track_pop,artist_pop
alt-J,The Dream,U&ME,3i4ColsuZEvjeLz63m0jPt,0.587,0.722,7,-8.332,1,0.0574,0.00322,0.133,0.294,81.973,198840,4,3XHO7cRUPCLOr6jwp8vsx5,62.0,76.0
Claud,Super Monster,Soft Spot,30bqNfOgcJOw2EWJJl1w5J,0.56,0.544,10,-8.25,1,0.0284,5.02e-05,0.224,0.472,82.028,188098,4,5MaQlvNGOaTj39apHsXVq1,60.0,58.0
Belle and Sebastian,Books,Your Cover's Blown,5Ko8Fc69xLlzwgNxAs7cUU,0.484,0.743,11,-6.005,0,0.0668,1.37e-06,0.344,0.397,109.113,361787,4,4I2BJf80C0skQpp1sQmA0h,47.0,62.0
Culture Abuse,So Busted,So Busted,19RV3EkvLt39bWSZwsiGjy,0.522,0.978,4,-1.467,1,0.0631,0.0536,0.194,0.528,134.825,123021,4,2GU1bGD3rTvxPNyBie1lqV,50.0,40.0
fanclubwallet,Car Crash in G Major,Car Crash in G Major,24EtJ2vTx6CtaP32S6Arn2,0.709,0.517,7,-8.077,1,0.0335,0.118,0.484,0.429,105.369,132000,4,1NJUWqbiNAk1BPOyQhb2qe,59.0,46.0
Quinton Brock,Touch,Touch,5KhKoWqh6lldeVNqSmSsVi,0.473,0.898,6,-4.332,1,0.0633,0.0043,0.241,0.552,66.036,166445,4,1abW5Py6b6FSSpirm5Fkqq,35.0,22.0
Ray Bull,Love Is Hate,Love Is Hate,5V0MkBLevt9CmtlvqVvEjM,0.788,0.407,4,-9.776,1,0.0519,2.68e-05,0.182,0.703,120.017,230059,4,3P4jnIuA9z5WsvkbsoqkTu,30.0,30.0
Andrew Bird,Are You Serious (Deluxe Edition),Pulaski,1tGRfoeKD06YvZr6l3uwEk,0.453,0.717,7,-7.724,1,0.0753,0.00243,0.12,0.393,111.023,242147,4,4uSftVc3FPWe6RJuMZNEe9,50.0,61.0
Star Parks,The New Sounds of Late Capitalism,Palm Sunday,6rN3MviTNZD3Fc1QABVGt9,0.357,0.564,5,-6.658,1,0.0298,0.852,0.216,0.264,125.127,323773,3,0yRum3Q7Dqnt8kl4MdO7TH,30.0,34.0
Pardoner,Came Down Different,I Wanna Get High To The Music,2cmrMxNXwbCgGX3Fx0YodQ,0.566,0.836,11,-6.848,1,0.0297,0.18,0.118,0.788,146.794,72974,4,2cvOvqNfn14qVRgGEw29PQ,39.0,32.0
Sons of Raphael,Full-Throated Messianic Homage,Yeah Yeah Yeah,56FAGq0ar7AEpNqK6r7SHo,0.578,0.636,1,-5.024,1,0.0464,0,0.135,0.598,116.049,272867,4,1stGFX6w6VMHQPDPlBqX74,39.0,27.0
The Convenience,Accelerator,Kiss Me In Heaven,3H5pElWVrTWGqLhqo7LxQM,0.687,0.55,4,-7.595,1,0.0819,0.266,0.104,0.962,157.801,219823,4,2PKfkrNktahdkVFB47NjGv,42.0,29.0
