,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_id,track_pop,artist_pop
0,The Clash,Sandinista! (Remastered),Charlie Don't Surf - Remastered,5T4j3Uv33fQO7tsR2lMl4y,0.51,0.595,2,-11.023,1,0.0383,0.0186,0.338,0.632,131.762,294093,4,3RGLhK1IP9jnYFH4BRFJBS,55.0,73.0
1,The Cramps,Off The Bone,Lonesome Town,219MvPH5qmEcC8992LzVEE,0.285,0.5,4,-15.844,0,0.191,0.372,0.391,0.388,161.982,183200,5,4lYtGx5NZQJHsMyhHc5iz3,33.0,54.0
2,elricfd,cable hogue soundtrack,But I Am Different,45qvEtRBZIcEpHsPauZnkP,0.359,0.64,3,-4.911,1,0.0296,0.812,0.0865,0.511,71.042,372947,4,2SapY6v9gD93Lwesf4varA,37.0,32.0
3,Surface To Air Missive,A V,Time Being,4CmaFXqjc4tas5WFrSc6om,0.43,0.859,2,-6.04,1,0.0504,7.58e-05,0.0853,0.709,168.964,233984,4,1jABwUGVW3WcyzPF7aQ5FR,43.0,30.0
4,Smushie,Complete Annihilation!,Complete Annihilation!,252brHktw7kGAdCCahQpW8,0.687,0.578,4,-10.483,1,0.0336,0.016,0.148,0.789,90.013,301265,4,0XGgpBKj7u2MMX2kqUVLaH,47.0,32.0
5,The Replacements,Tim (Expanded),Swingin Party - 2008 Remaster,14g6foD6sxO1qgkDKuPgWv,0.647,0.69,6,-8.657,0,0.0454,0,0.147,0.682,117.514,233573,4,4WPY0N74T3KUja57xMQTZ3,60.0,56.0
6,The Velvet Underground,Loaded: Re-Loaded 45th Anniversary Edition,Who Loves the Sun - 2015 Remaster,1rJi8cf8OWsrX4CqBnMSoQ,0.441,0.568,4,-8.833,1,0.0298,0,0.368,0.721,130.131,166213,4,1nJvji2KIlWSseXRSlNYsC,57.0,67.0
7,Pixies,Doolittle,Hey,0p5eZCY0R7uNCZS1YDtIYI,0.59,0.372,7,-12.37,1,0.0318,0.00929,0.316,0.306,99.887,210907,4,6zvul52xwTWzilBZl6BUbT,71.0,73.0
8,Karate,Some Boots,Original Spies,451AZfnRTHCr8tP2GDynlE,0.599,0.608,8,-5.989,1,0.0316,1.15e-05,0.0768,0.648,117.662,398907,4,6U26vGPwnCQcNDr9Dpj0Y0,39.0,38.0
9,King Missile,Mystical Shit/Fluting on the Hump,Sensitive Artist,54UPoHNQuqAqOQAZ2hl1il,0.458,0.557,5,-13.445,1,0.0375,0.105,0.496,0.893,121.715,158227,4,4ab0zJgTZPWz00v2PrdJI4,44.0,38.0
10,Jerry Paper,Kno Me,Kno Me,6XaMOKR9NHzIFIgNQrpYvU,0.617,0.617,8,-7.008,1,0.0296,0.769,0.291,0.734,134.93,216537,4,2gzxBoK71ohENPlxlshHV7,43.0,46.0
11,5ive Style,5ive Style,Deep Marsh,1589JkTKSHcTlsFBkO41gI,0.644,0.567,11,-6.563,1,0.0343,0.871,0.164,0.693,74.548,196107,4,6hQXeK9vIfU31u72NdFZ7Q,41.0,28.0
12,The Replacements,Let It Be (Expanded),Androgynous,3fnL2JDgy4QD04araOl0eY,0.476,0.361,11,-9.312,1,0.0287,0,0.0817,0.389,106.484,190853,4,4WPY0N74T3KUja57xMQTZ3,54.0,56.0
13,The Velvet Underground,Loaded: Re-Loaded 45th Anniversary Edition,Rock and Roll - Full Length Version; 2015 Remaster,1o6DclZHw0HomxXEQR1ijX,0.494,0.735,5,-8.347,1,0.0345,3.14e-06,0.544,0.742,132.526,283000,4,1nJvji2KIlWSseXRSlNYsC,60.0,67.0
14,Pixies,Human Crime,Human Crime,1a1Mk18Fh0eba27uRe9fh4,0.433,0.88,9,-3.566,1,0.0459,0.118,0.124,0.39,148.965,187956,4,6zvul52xwTWzilBZl6BUbT,61.0,73.0
15,Anthony Moore,Out,Stitch in Time,1IrrcAS7VL8gUcOF0KHBfU,0.454,0.699,7,-8.488,1,0.0299,2.54e-05,0.415,0.289,146.597,188027,3,4uJt75N8u4RRQQ6hKYYIaS,40.0,27.0
16,Jonathan Richman & The Modern Lovers,Roadrunner: The Beserkley Collection,The Morning of Our Lives,2rneJaaVTvpEnq22TiCzE9,0.602,0.292,9,-15.337,1,0.0785,0.00146,0.714,0.315,104.192,326853,4,0NjdXlUziaK1qv3kgZV4Jy,45.0,43.0
17,Balkans,Balkans,Flowers Everywhere,14TC9zbh5C4K6ey8J2ZCdS,0,0.858,3,-5.892,1,0,0.000534,0.232,0,0,246987,0,6ozbYaDYh9AFYciPvk6iBO,38.0,31.0
18,Television,Adventure,Carried Away - 2003 Remaster,4t87dWb7q5e7TtWMFeV0Z8,0.616,0.367,2,-11.135,1,0.0323,0.177,0.246,0.366,116.526,312253,4,0S7Zur2g8YhqlzqtlYStli,36.0,49.0
19,Karate,The Bed Is In The Ocean,There Are Ghosts,6mBhzvszzmVcwG2lCOuuT4,0.556,0.369,9,-10.797,0,0.0346,0.028,0.355,0.238,115.076,219933,4,6U26vGPwnCQcNDr9Dpj0Y0,40.0,38.0
20,The Velvet Underground,Loaded: Re-Loaded 45th Anniversary Edition,Oh! Sweet Nuthin' - 2015 Remaster,0i19MAZbyn8uTir7FprXId,0.399,0.467,5,-11.763,1,0.0284,0.0186,0.124,0.525,75.601,445187,4,1nJvji2KIlWSseXRSlNYsC,64.0,67.0
21,Pixies,Doolittle,Here Comes Your Man,4IvZLDtwBHmBmwgDIUbuwa,0.669,0.795,2,-10.865,1,0.0285,0.0781,0.401,0.882,124.594,201187,4,6zvul52xwTWzilBZl6BUbT,71.0,73.0
22,The Clash,Combat Rock (Remastered),Straight to Hell - Remastered,2ax1vei61BzRGsEn6ckEdL,0.802,0.596,7,-11.663,1,0.06,1.17e-05,0.0695,0.702,90.275,330507,4,3RGLhK1IP9jnYFH4BRFJBS,58.0,73.0
23,The Replacements,Pleased to Meet Me (Expanded),Nightclub Jitters - 2008 Remaster,0NYs3fResVqrOVUEPd8Q4k,0.677,0.277,0,-14.324,1,0.0421,1.99e-05,0.111,0.326,114.534,166023,4,4WPY0N74T3KUja57xMQTZ3,37.0,56.0
24,Silver Jews,The Natural Bridge,The Right to Remain Silent,3jWYXvTSGEZhEaJEZYnG42,0.481,0.351,9,-15.11,0,0.0399,0.902,0.114,0.608,174.534,156600,4,4ePunOqQbOYoQwd1298g3Z,42.0,48.0
