artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_id,track_pop,artist_pop,release_date,artist_genre,name
Rostam,Half-Light,Bike Dream,1acb8u70kClk6NjITaZyuG,0.507,0.972,8,-2.723,1,0.087,1.65e-05,0.14,0.797,120.076,201760,4,04XggbrM51GcFPTxBYtRXT,46.0,49.0,2017-09-15,art pop,6/1/2022
Japanese Breakfast,Jubilee,Be Sweet,0dpyzcT3RMNNSd2xKBf35I,0.653,0.877,2,-5.82,0,0.0275,1.04e-05,0.32,0.62,109.985,195371,4,7MoIc5s9KXolCBH1fy9kkw,68.0,60.0,2021-06-04,art pop,6/1/2022
Japanese Breakfast,Jubilee,Paprika,3zyqphgXvgHe436IMKeey3,0.506,0.712,4,-5.495,1,0.0334,0,0.304,0.416,120.07,220316,4,7MoIc5s9KXolCBH1fy9kkw,61.0,60.0,2021-06-04,art pop,6/1/2022
Phoenix,Alpha Zulu,Alpha Zulu,1QgegXUzfvRJxNRHM9sP3F,0.723,0.7,1,-6.571,0,0.043,0.108,0.0809,0.936,126.041,170387,4,1xU878Z1QtBldR7ru9owdU,65.0,62.0,2022-06-01,alternative dance,6/1/2022
Kevin Morby,This Is A Photograph,This Is A Photograph,6R3eECv1wptTUHATHSogu7,0.721,0.914,4,-4.954,0,0.0469,0.00132,0.119,0.784,123.997,210333,4,6fxk3UXHTFYET8qCT9WlBF,37.0,54.0,2022-03-03,indie rock,6/1/2022
Petey,Lean Into Life,California,2JquuHosB2mPp8wuUSc6Yl,0.662,0.838,2,-7.367,1,0.0287,0.884,0.104,0.387,126.997,276387,4,4TeKBLCqmYXzvcgYX4t4YA,47.0,43.0,2021-09-03,,6/1/2022
Angel Du$t,Bigger House,Never Ending Game - Panda Bear Remix,5yKfyF3ZZjbCjc9tUMrLg5,0.577,0.767,5,-4.398,1,0.0253,6.6e-05,0.225,0.515,77.985,203108,4,2ynylCO9SRPTKjgNEH0Y2a,44.0,42.0,2021-06-11,dreamo,6/1/2022
Los Bitchos,Let the Festivities Begin!,Pista (Fresh Start),34DOledEvD7igMMVEWbaEO,0.596,0.763,5,-7.464,1,0.0294,0.207,0.949,0.864,91.407,202133,4,07b9qW7pabKGO29JPWXn9m,44.0,38.0,2022-02-04,,6/1/2022
Los Bitchos,Let the Festivities Begin!,Tropico,0SFM8ra7hPCHoSYL2V0YgF,0.583,0.848,4,-8.365,0,0.0623,0.461,0.168,0.831,165.916,216920,4,07b9qW7pabKGO29JPWXn9m,36.0,38.0,2022-02-04,,6/1/2022
Young Guv,Cold In The Summer,Cold In The Summer,3O84rSAe1cb1fKUivqDfrH,0.713,0.745,9,-6.004,1,0.0331,0.163,0.12,0.866,104.985,213594,4,1zEgVwAUxnTP5DDnmZbJnw,42.0,32.0,2020-08-18,garage psych,6/1/2022
Heartless Bastards,A Beautiful Life,How Low,0WLJjIjP8YBCyLZIClsmKW,0.546,0.838,4,-5.365,1,0.0356,1.08e-06,0.0948,0.642,155.959,244160,4,2wwMTLM2da1sa2JcJslf8W,43.0,43.0,2021-09-10,modern blues rock,6/1/2022
Something Simple,Something Simple,Treehouse,2dWRfYtkPPABgiS5ef9g6a,0.653,0.77,7,-9.977,1,0.0383,0.0562,0.378,0.765,137.003,232813,4,5bfskvjJTxHQOqvoluRfmh,10.0,5.0,2020-01-24,,6/1/2022
Something Simple,Something Old,Minute to Live,3Ly0xwzDiYU7p1jN05wr8r,0.674,0.828,11,-5.319,1,0.0352,0.409,0.0925,0.778,111.974,213060,4,5bfskvjJTxHQOqvoluRfmh,6.0,5.0,2021-09-21,,6/1/2022
Something Simple,Something Old,On the Run,4TSKYTH3axfpxIJg7Ma2sB,0.43,0.878,2,-4.343,1,0.0305,0.56,0.268,0.749,88.972,188399,4,5bfskvjJTxHQOqvoluRfmh,11.0,5.0,2021-09-21,,6/1/2022
The Voidz,Did My Best,Did My Best,0hmxVkpxbcdHAXUoZ7DeCQ,0.533,0.794,1,-4.687,0,0.0371,0.888,0.106,0.623,120.207,296939,4,4nUBBtLtzqZGpdiynTJbYJ,52.0,51.0,2019-12-13,modern alternative rock,6/1/2022
Fleet Foxes,Helplessness Blues,Helplessness Blues,02VdHwnGhy5fTW2CTZkYsb,0.329,0.452,8,-7.737,1,0.0334,5.43e-06,0.118,0.193,125.217,303387,3,4EVpmkEwrLYEg6jIsiPMIb,53.0,65.0,2011-05-03,chamber pop,5/1/2022
Car Seat Headrest,Teens Of Denial,Drunk Drivers/Killer Whales,75hwtYcghca6YKW4i6C6fP,0.537,0.414,2,-7.952,1,0.0404,2.1e-06,0.103,0.459,117.101,374653,4,5PbpKlxQE0Ktl5lcNABoFf,61.0,60.0,2016-05-20,alternative rock,5/1/2022
The Strokes,Is This It,Is This It,0jBE7Fn78EAvmIs3dCd6GO,0.667,0.692,5,-8.361,1,0.0285,3.75e-05,0.349,0.846,96.022,151333,4,0epOFNiUfyON9EYx7Tpr6V,57.0,74.0,2001-07-30,alternative rock,5/1/2022
Sleeping in the Aviary,"You and Me, Ghost","Karen, You're An Angel",1qJF1iDAAcpKcxdys4pdlN,0.565,0.725,9,-5.712,1,0.0347,0,0.341,0.564,90.118,215907,4,0vHwBHcc8FGUHiO5N0DpBc,43.0,25.0,2011-09-06,,5/1/2022
Arcade Fire,Unconditional I (Lookout Kid),Unconditional I (Lookout Kid),0Zd9Nub5lwmzSBoWaVOWrP,0.486,0.68,11,-8.911,1,0.0313,0.000132,0.171,0.532,97.502,273693,4,3kjuyTCjPG1WMFCiyc5IuB,57.0,68.0,2022-04-27,baroque pop,5/1/2022
flipturn,Heavy Colors,Chicago,2BIfG6wL1t5wk1KixoK2BV,0.709,0.655,4,-9.638,1,0.0342,0.00283,0.0931,0.609,111.97,319821,4,7FKTg75ADVMZgY3P9ZMRtH,56.0,53.0,2017-03-31,indie pop,5/1/2022
Caetano Veloso,Caetano Veloso - 1969,Lost In The Paradise - Remastered 2006,3hH2LDHTypSGGfs550mV1j,0.365,0.584,9,-8.356,1,0.066,0,0.098,0.514,90.364,207667,4,7HGNYPmbDrMkylWqeFCOIQ,37.0,64.0,1969-01-01,bossa nova,5/1/2022
